case,path,elapsedMs,value,canonicalValue,unit
baseline,core.powerMw,0,2890,2890,MW
baseline,core.powerMw,1000,2877.072776567763,2877.072776567763,MW
baseline,core.powerMw,2000,2861.860599318569,2861.860599318569,MW
baseline,core.powerMw,3000,2848.2334009367155,2848.2334009367155,MW
baseline,core.powerMw,4000,2836.0063630862223,2836.0063630862223,MW
baseline,core.powerMw,5000,2825.018189346925,2825.018189346925,MW
baseline,core.powerMw,6000,2815.12784414438,2815.12784414438,MW
baseline,core.powerMw,7000,2806.2117900458124,2806.2117900458124,MW
baseline,core.powerMw,8000,2798.161638506414,2798.161638506414,MW
baseline,core.powerMw,9000,2790.8821452797347,2790.8821452797347,MW
baseline,core.powerMw,10000,2784.289494462623,2784.289494462623,MW
baseline,core.powerMw,11000,2778.30982529212,2778.30982529212,MW
baseline,core.powerMw,12000,2772.877963927917,2772.877963927917,MW
baseline,core.powerMw,13000,2767.93632898128,2767.93632898128,MW
baseline,core.powerMw,14000,2763.4339848287486,2763.4339848287486,MW
baseline,core.powerMw,15000,2759.3258210379267,2759.3258210379267,MW
baseline,core.powerMw,16000,2755.5718397360824,2755.5718397360824,MW
baseline,core.powerMw,17000,2752.1365356279352,2752.1365356279352,MW
baseline,core.powerMw,18000,2748.9883557406956,2748.9883557406956,MW
baseline,core.powerMw,19000,2746.0992279393863,2746.0992279393863,MW
baseline,core.powerMw,20000,2743.4441488906455,2743.4441488906455,MW
baseline,core.powerMw,21000,2741.0008235197142,2741.0008235197142,MW
baseline,core.powerMw,22000,2738.749349151837,2738.749349151837,MW
baseline,core.powerMw,23000,2736.6719384949993,2736.6719384949993,MW
baseline,core.powerMw,24000,2734.7526764371974,2734.7526764371974,MW
baseline,core.powerMw,25000,2732.9773063238204,2732.9773063238204,MW
baseline,core.powerMw,26000,2731.3330419698505,2731.3330419698505,MW
baseline,core.powerMw,27000,2729.808402164382,2729.808402164382,MW
baseline,core.powerMw,28000,2728.393064855275,2728.393064855275,MW
baseline,core.powerMw,29000,2727.0777385709885,2727.0777385709885,MW
baseline,core.powerMw,30000,2725.8540489542215,2725.8540489542215,MW
baseline,core.powerMw,31000,2724.7144385557526,2724.7144385557526,MW
baseline,core.powerMw,32000,2723.6520782733514,2723.6520782733514,MW
baseline,core.powerMw,33000,2722.66078902528,2722.66078902528,MW
baseline,core.powerMw,34000,2721.73497242534,2721.73497242534,MW
baseline,core.powerMw,35000,2720.8695493804553,2720.8695493804553,MW
baseline,core.powerMw,36000,2720.0599056657597,2720.0599056657597,MW
baseline,core.powerMw,37000,2719.301843648791,2719.301843648791,MW
baseline,core.powerMw,38000,2718.5915394360923,2718.5915394360923,MW
baseline,core.powerMw,39000,2717.92550480427,2717.92550480427,MW
baseline,core.powerMw,40000,2717.3005533550877,2717.3005533550877,MW
baseline,core.powerMw,41000,2716.7137704020083,2716.7137704020083,MW
baseline,core.powerMw,42000,2716.162486154919,2716.162486154919,MW
baseline,core.powerMw,43000,2715.644251821769,2715.644251821769,MW
baseline,core.powerMw,44000,2715.1568182914243,2715.1568182914243,MW
baseline,core.powerMw,45000,2714.6981171020007,2714.6981171020007,MW
baseline,core.powerMw,46000,2714.266243434042,2714.266243434042,MW
baseline,core.powerMw,47000,2713.8594408986983,2713.8594408986983,MW
baseline,core.powerMw,48000,2713.4760879181435,2713.4760879181435,MW
baseline,core.powerMw,49000,2713.114685519286,2713.114685519286,MW
baseline,core.powerMw,50000,2712.773846382732,2712.773846382732,MW
baseline,core.powerMw,51000,2712.452285007416,2712.452285007416,MW
baseline,core.powerMw,52000,2712.148808867511,2712.148808867511,MW
baseline,core.powerMw,53000,2711.862310452514,2711.862310452514,MW
baseline,core.powerMw,54000,2711.591760094007,2711.591760094007,MW
baseline,core.powerMw,55000,2711.33619949366,2711.33619949366,MW
baseline,core.powerMw,56000,2711.094735876838,2711.094735876838,MW
baseline,core.powerMw,57000,2710.866536704803,2710.866536704803,MW
baseline,core.powerMw,58000,2710.6508248860964,2710.6508248860964,MW
